ANID,Site,Fe,Rb,Sr,Zr,Ba,Ce
ECUA-030,Quito,0.92,142,278,197,NA,NA
ECUA-031,La Tolita,0.50,156,136,100,NA,NA
ECUA-032,La Tolita,0.50,166,136,101,1065,NA
ECUA-033,La Tolita,0.50,156,134,96,1089,NA
ECUA-034,La Tolita,0.49,150,129,98,1087,NA
ECUA-035,La Tolita,0.51,167,136,97,1068,NA
ECUA-036,Rodeo Corrales,0.36,189,82,77,914,NA
ECUA-037,Rodeo Corrales,0.38,187,86,73,863,NA
ECUA-038,Rodeo Corrales,0.35,190,86,79,864,NA
ECUA-039,Rodeo Corrales,0.37,196,85,78,924,NA
ECUA-040,Rodeo Corrales,0.36,187,88,76,901,NA
